,Gender,Age,Annual Income (k$),Spending Score (1-100),Income Cluster,Spending and Income Cluster
95,Male,24,60,52,0,0
96,Female,47,60,47,0,0
97,Female,27,60,50,0,0
98,Male,48,61,42,0,0
99,Male,20,61,49,0,0
100,Female,23,62,41,0,0
101,Female,49,62,48,0,0
102,Male,67,62,59,0,0
103,Male,26,62,55,0,0
104,Male,49,62,56,0,0
105,Female,21,62,42,0,0
106,Female,66,63,50,0,0
107,Male,54,63,46,0,0
108,Male,68,63,43,0,0
109,Male,66,63,48,0,0
110,Male,65,63,52,0,0
111,Female,19,63,54,0,0
112,Female,38,64,42,0,0
113,Male,19,64,46,0,0
114,Female,18,65,48,0,0
115,Female,19,65,50,0,0
116,Female,63,65,43,0,0
117,Female,49,65,59,0,0
118,Female,51,67,43,3,0
119,Female,50,67,57,3,0
120,Male,27,67,56,3,0
121,Female,38,67,40,3,0
122,Female,40,69,58,3,0
123,Male,39,69,91,3,1
124,Female,23,70,29,3,3
125,Female,31,70,77,3,1
126,Male,43,71,35,3,0
127,Male,40,71,95,3,1
128,Male,59,71,11,3,3
129,Male,38,71,75,3,1
130,Male,47,71,9,3,3
131,Male,39,71,75,3,1
132,Female,25,72,34,3,0
133,Female,31,72,71,3,1
134,Male,20,73,5,3,3
135,Female,29,73,88,3,1
136,Female,44,73,7,3,3
137,Male,32,73,73,3,1
138,Male,19,74,10,3,3
139,Female,35,74,72,3,1
140,Female,57,75,5,3,3
141,Male,32,75,93,3,1
142,Female,28,76,40,3,0
143,Female,32,76,87,3,1
144,Male,25,77,12,3,3
145,Male,28,77,97,3,1
146,Male,48,77,36,3,3
147,Female,32,77,74,3,1
148,Female,34,78,22,3,3
149,Male,34,78,90,3,1
150,Male,43,78,17,3,3
151,Male,39,78,88,3,1
152,Female,44,78,20,3,3
153,Female,38,78,76,3,1
154,Female,47,78,16,3,3
155,Female,27,78,89,3,1
156,Male,37,78,1,3,3
157,Female,30,78,78,3,1
158,Male,34,78,1,3,3
159,Female,30,78,73,3,1
160,Female,56,79,35,3,3
161,Female,29,79,83,3,1
162,Male,19,81,5,3,3
163,Female,31,81,93,3,1
164,Male,50,85,26,4,3
165,Female,36,85,75,4,1
166,Male,42,86,20,4,3
167,Female,33,86,95,4,1
168,Female,36,87,27,4,3
169,Male,32,87,63,4,1
170,Male,40,87,13,4,3
171,Male,28,87,75,4,1
172,Male,36,87,10,4,3
173,Male,36,87,92,4,1
174,Female,52,88,13,4,3
175,Female,30,88,86,4,1
176,Male,58,88,15,4,3
177,Male,27,88,69,4,1
178,Male,59,93,14,4,3
179,Male,35,93,90,4,1
180,Female,37,97,32,4,3
181,Female,32,97,86,4,1
182,Male,46,98,15,4,3
183,Female,29,98,88,4,1
184,Female,41,99,39,4,3
185,Male,30,99,97,4,1
186,Female,54,101,24,4,3
187,Male,28,101,68,4,1
188,Female,41,103,17,4,3
189,Female,36,103,85,4,1
190,Female,34,103,23,4,3
191,Female,32,103,69,4,1
192,Male,33,113,8,1,3
193,Female,38,113,91,1,1
194,Female,47,120,16,1,3
195,Female,35,120,79,1,1
196,Female,45,126,28,1,3
197,Male,32,126,74,1,1
198,Male,32,137,18,1,3
199,Male,30,137,83,1,1
